scenario,location,band_keV,published,v1.2.1_browser,v1.2.2_browser,a_rel,b_rel,total_rel,LT_factor_rel,b_minus_LT
isotropic,MIF off,6-11.5,0.00116314374301,0.0011612658854573965,0.00116508430801332,-0.0016144673123065223,0.003288155282732186,0.001668379351204008,0.003291641303670545,-3.4860209383591467e-06
isotropic,MIF off,7.6-7.7,2.2211865110000002e-05,2.159371433663182e-05,2.166476951970253e-05,-0.027829755417066893,0.0032905493683490494,-0.024630781232826915,0.003291641303670545,-1.0919353214955407e-06
isotropic,Shield Center,40-200,5.701488528556,5.463583469390869,5.474305629730225,-0.04172683290926216,0.001962477630190085,-0.039846243255235225,0.001996342769009285,-3.386513881920017e-05
isotropic,Shield Center,0.2-1,0.275757302901,0.2796240746974945,0.2801823318004608,0.014022373136869382,0.001996455790046925,0.016046823974955604,0.001996342769009285,1.1302103763988214e-07
isotropic,Shield Center,0.21-1,0.221848680201,0.22431699931621552,0.22476482391357422,0.011126138379453865,0.0019963917078233973,0.01314474221767803,0.001996342769009285,4.8938814112275963e-08
isotropic,Shield Center,1-6,0.15522865328000002,0.1552596390247345,0.15556958317756653,0.0001996135641182395,0.0019962957197308118,0.0021963077715525525,0.001996342769009285,-4.7049278473210165e-08
isotropic,Shield Center,6-11.5,0.0417319937108,0.041754864156246185,0.04183822125196457,0.0005480314600994074,0.0019963445553663473,0.0025454700750873194,0.001996342769009285,1.786357062272259e-09
isotropic,Shield Center,7.6-7.7,0.0021850271599999998,0.0022102314978837967,0.002214643871411681,0.011535022696833153,0.0019963399906792745,0.0135543905146156,0.001996342769009285,-2.7783300104999853e-09
isotropic,HB4,40-200,17.6450861503111,17.645090103149414,17.862686157226562,2.2401921295767124e-07,0.01233181881220946,0.012332045593986818,0.014011229152743443,-0.0016794103405339822
isotropic,HB4,0.2-1,0.5923458967326385,0.5923458337783813,0.6024408936500549,-1.0627955304709502e-07,0.017042510128383093,0.01704240203755969,0.014011229152743443,0.0030312809756396497
isotropic,HB4,0.21-1,0.4718820155326385,0.4718819260597229,0.4802258610725403,-1.8960865777462033e-07,0.017682251749903566,0.01768205878853779,0.014011229152743443,0.003671022597160123
isotropic,HB4,1-6,1.4062474988526,1.4062474966049194,1.4258759021759033,-1.5983534495944696e-09,0.013958002142846482,0.0139580005221831,0.014011229152743443,-5.3227009896961164e-05
isotropic,HB4,6-11.5,0.9252269208336,0.9252269268035889,0.9382007122039795,6.452459011541123e-09,0.014022273914153782,0.014022280457091085,0.014011229152743443,1.1044761410339277e-05
isotropic,HB4,7.6-7.7,0.33803220850000004,0.33803221583366394,0.3431002199649811,2.1695162999435524e-08,0.014992666065328342,0.01499268808575982,0.014011229152743443,0.0009814369125848987
isotropic,East 18,40-200,7.192599644719999,5.224583625793457,5.237313270568848,-0.2736167889410108,0.0024364898118474088,-0.2718469636477686,0.0024937406277016905,-5.725081585428171e-05
isotropic,East 18,0.2-1,0.33539003582,0.3500119745731354,0.35088497400283813,0.04359681920002778,0.002494198750678356,0.04619975708268842,0.0024937406277016905,4.5812297666536494e-07
isotropic,East 18,0.21-1,0.28766078182,0.29792702198028564,0.29867011308670044,0.03568870283718284,0.002494205129415672,0.03827192291227721,0.0024937406277016905,4.645017139814911e-07
isotropic,East 18,1-6,0.29585877703999997,0.2958278954029083,0.29656559228897095,-0.00010437965505227798,0.002493669114800312,0.002389029171425916,0.0024937406277016905,-7.151290137841215e-08
isotropic,East 18,6-11.5,0.07577093977800001,0.07581084221601486,0.07599989324808121,0.0005266192834847416,0.0024937202455510565,0.003021652770204497,0.0024937406277016905,-2.0382150633935225e-08
isotropic,East 18,7.6-7.7,0.0059799866400000005,0.006015651393681765,0.006030653603374958,0.0059640189566985136,0.002493862877252173,0.008472755279426147,0.0024937406277016905,1.2224955048267816e-07
isotropic,East 1,40-200,8.44748825563,8.447488784790039,8.475057601928711,6.264110963272174e-08,0.003263551789297381,0.0032636146348397066,0.003380302374978106,-0.00011675058568072494
isotropic,East 1,0.2-1,0.8523639074390001,0.8523638248443604,0.8552416563034058,-9.690067714895889e-08,0.0033762946938427074,0.0033761974660002636,0.003380302374978106,-4.0076811353984e-06
