file_id,file_name,run_id,run_name,coordinate_id,detector_face_x_in,detector_face_z_in,live_time_s,counts_50_11400_keV,statistical_error_counts,rate_50_11400_counts_per_s,routine_point,calibration_A0_keV,calibration_A1_keV_per_channel,representative_point
1043,NOMINAL_DOWN,100,position_scan_3_NOMINAL_DOWN,100,39.3,188.0,841.65,22022.0,148.39811319555247,26.16527059941781,False,-0.023417101841509663,0.6994146895139429,False
1045,HB4_DOWN_29,9,position_scan_4_HB4_DOWN_29,9,134.5,314.2,402.49,213088.0,461.6145578293648,529.4243335238142,False,-0.023417101841509663,0.6994146895139429,False
1055,HB4_DOWN_64,145,position_scan_6_HB4_DOWN_64,145,165.0,403.7,310.17,51025.0,225.88713996153035,164.50656091820613,True,-0.2889562578243986,0.6994008394878689,False
1087,PROSPECT_DOWN_27,43,position_scan_7_PROSPECT_DOWN_27,43,50.8,195.0,141.78,6470.0,80.43631020876082,45.6340809705177,True,-0.2889562578243986,0.6994008394878689,False
1123,HB4_DOWN_48,129,position_scan_6_HB4_DOWN_48,129,148.0,344.7,584.97,244897.0,494.8706901807784,418.64881959758617,False,-0.2889562578243986,0.6994008394878689,False
1125,HB4_DOWN_12,112,position_scan_3_HB4_DOWN_12,112,116.0,284.2,145.69,70170.0,264.896206088347,481.63909671219716,True,-0.023417101841509663,0.6994146895139429,False
1135,PROSPECT_DOWN_1,146,position_scan_6_PROSPECT_DOWN_1,146,40.5,217.2,328.45,13859.0,117.72425408555367,42.19515908052976,True,-0.2889562578243986,0.6994008394878689,False
1171,PROSPECT_DOWN_8,153,position_scan_6_PROSPECT_DOWN_8,153,67.5,181.2,156.87,8652.0,93.01612763386788,55.15394912985274,True,-0.2889562578243986,0.6994008394878689,False
1182,HB3_DOWN_20,86,position_scan_8_HB3_DOWN_20,86,71.0,50.7,204.33,22391.0,149.63622556052394,109.58253805119169,True,-0.2889562578243986,0.6994008394878689,False
1208,HB4_DOWN_57,138,position_scan_6_HB4_DOWN_57,138,165.0,374.7,432.73,110556.0,332.49962405993784,255.48494442261918,False,-0.2889562578243986,0.6994008394878689,False
1215,PROSPECT_DOWN_11,155,position_scan_6_PROSPECT_DOWN_11,155,138.5,181.2,173.91,14603.0,120.84287318663024,83.96871945259042,True,-0.2889562578243986,0.6994008394878689,False
1226,HB4_DOWN_7,107,position_scan_3_HB4_DOWN_7,107,88.0,284.2,214.28,97668.0,312.51879943453,455.7961545641217,True,-0.023417101841509663,0.6994146895139429,False
1229,HB4_DOWN_39,99,position_scan_5_HB4_DOWN_39,99,105.0,318.2,10737.11,5816781.0,2411.8003648726817,541.7454976245936,False,0.0,0.699042,False
1251,HB3_DOWN_10,76,position_scan_8_HB3_DOWN_10,76,106.5,112.7,270.4,24806.0,157.49920634720672,91.73816568047339,True,-0.2889562578243986,0.6994008394878689,False
1254,HB3_DOWN_3,69,position_scan_8_HB3_DOWN_3,69,58.0,138.7,229.86,30343.0,174.19242233805696,132.0064387018185,True,-0.2889562578243986,0.6994008394878689,False
1274,PROSPECT_DOWN_BRICK2,49,position_scan_7_PROSPECT_DOWN_BRICK2,47,38.3,199.5,446.05,13638.0,116.7818479045438,30.575047640399056,False,-0.2889562578243986,0.6994008394878689,False
1296,PROSPECT_DOWN_20,36,position_scan_7_PROSPECT_DOWN_20,36,38.3,150.5,173.91,7015.0,83.75559682791354,40.33695589672819,True,-0.2889562578243986,0.6994008394878689,False
1309,PROSPECT_DOWN_17,162,position_scan_6_PROSPECT_DOWN_17,162,137.0,159.7,173.91,15365.0,123.95563722558164,88.35029613018229,True,-0.2889562578243986,0.6994008394878689,False
1325,HB4_DOWN_4,104,position_scan_3_HB4_DOWN_4,104,67.0,284.2,261.77,88437.0,297.38359067036635,337.8423807158957,True,-0.023417101841509663,0.6994146895139429,False
1346,HB4_DOWN_11,111,position_scan_3_HB4_DOWN_11,111,70.23437241733299,283.7334189350834,2421.22,865836.0,930.503089731571,357.60319177935094,False,-0.023417101841509663,0.6994146895139429,False
1355,PROSPECT_DOWN_24,40,position_scan_7_PROSPECT_DOWN_24,40,38.3,200.0,440.42,13553.0,116.41735265844177,30.77289859679397,False,-0.2889562578243986,0.6994008394878689,False
1400,PROSPECT_DOWN_BRICK1,48,position_scan_7_PROSPECT_DOWN_BRICK1,47,38.3,199.5,398.64,11899.0,109.0825375575761,29.84898655428457,True,-0.2889562578243986,0.6994008394878689,False
1401,PROSPECT_DOWN_10,154,position_scan_6_PROSPECT_DOWN_10,154,121.5,181.2,173.91,20968.0,144.80331487918363,120.56810994192399,True,-0.2889562578243986,0.6994008394878689,False
1435,HB4_DOWN_58,139,position_scan_6_HB4_DOWN_58,139,61.0,403.7,566.97,185036.0,430.1581104663726,326.35941936963155,False,-0.2889562578243986,0.6994008394878689,False
1445,HB4_DOWN_59,140,position_scan_6_HB4_DOWN_59,140,79.0,403.7,321.95,88168.0,296.9309684084838,273.8561888492002,True,-0.2889562578243986,0.6994008394878689,False
1461,HB4_DOWN_16,116,position_scan_3_HB4_DOWN_16,116,93.0,250.2,223.76,73312.0,270.7618880123272,327.6367536646407,True,-0.023417101841509663,0.6994146895139429,False
1467,PROSPECT_DOWN_6,151,position_scan_6_PROSPECT_DOWN_6,151,161.5,217.2,207.13,31821.0,178.38441635972578,153.6281562303867,True,-0.2889562578243986,0.6994008394878689,False
1477,HB4_DOWN_35,95,position_scan_5_HB4_DOWN_35,95,61.0,302.7,168.66,60672.0,246.31686909345044,359.72963358235506,True,0.0,0.699042,False
